calendar.offensive-security.com,172.217.18.243
cpanel.offensive-security.com,45.79.131.24
cracker.offensive-security.com,45.79.190.43
download-pr.offensive-security.com,192.116.158.6
download.offensive-security.com,67.23.72.112
download2.offensive-security.com,52.71.60.46
downloads2.offensive-security.com,66.232.103.192
files.offensive-security.com,45.79.131.24
forums.offensive-security.com,67.23.72.114
hal9000.offensive-security.com,104.200.28.232
images.offensive-security.com,192.99.63.209
mail.offensive-security.com,172.217.19.51
mcu.offensive-security.com,45.56.100.54
o1.sg.offensive-security.com,167.89.63.178
o2.sg.offensive-security.com,167.89.82.134
offensive-security.com,192.124.249.5
oldicorn.offensive-security.com,45.79.131.24
phab-dev.offensive-security.com,45.79.131.24
phab.offensive-security.com,45.79.131.24
screenconnect.offensive-security.com,203.177.17.178
smtp.offensive-security.com,67.23.70.59
smtp2.offensive-security.com,67.23.72.126
smtp3.offensive-security.com,67.23.72.123
support.offensive-security.com,192.124.249.12
tickets.offensive-security.com,45.79.131.24
trac.offensive-security.com,208.68.234.106
unicorn-dev.offensive-security.com,45.79.131.24
unicorn.offensive-security.com,45.79.131.24
upload.offensive-security.com,192.124.249.53
vpn01.offensive-security.com,208.88.120.9
webcam.offensive-security.com,66.228.33.6
wiki.offensive-security.com,45.79.131.24
www.offensive-security.com,192.124.249.5
zimbra.offensive-security.com,45.79.131.24
